task_id,input_size,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,4338,hu-worker-c24,d3/6b12cd,nf-d36b12cdd509881e55c600279df9b9c3,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1715229212050,1715229218000,1715229219000,6950,0,-,85.3,0.0,3166208,5640192,3166208,5644288,712459,4911,279,18,6180864,16384,2,0,/input/data/work/d3/6b12cdd509881e55c600279df9b9c3,true,-
3,4063383142,hu-worker-c35,4f/3d5831,nf-4f3d5831f9222bafeac4b1833d7c0192,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1715229212122,1715229214000,1715229225000,12878,11000,-,97.0,0.4,1174642688,1186750464,1174642688,1186754560,4064227778,838279371,496316,104481,6942720,838287360,230,987,/input/data/work/4f/3d5831f9222bafeac4b1833d7c0192,true,-
1,3147288982,hu-worker-c34,61/55b6ab,nf-6155b6abce778011c506ee92bb852a66,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1715229212183,1715229217000,1715229230000,17817,12000,-,96.8,0.0,4771840,12550144,4771840,12554240,3147402437,5953,48261,20,0,16384,9,687,/input/data/work/61/55b6abce778011c506ee92bb852a66,true,-
17,1718442970,hu-worker-c41,19/d69f03,nf-19d69f0324af526136a82adc84256b86,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715229220607,1715229221000,1715229303000,82393,81000,-,203.7,0.4,1092898816,4696698880,1093193728,4761714688,1740177557,3670781,3365687,11230,29966336,4370432,108,5,/input/data/work/19/d69f0324af526136a82adc84256b86,true,-
43,2486687632,hu-worker-c34,d1/5d09f1,nf-d15d09f1a4bcb6e8bd822df4ae99dde3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715229220719,1715229221000,1715229331000,110281,109000,-,202.0,0.4,1140174848,5113393152,1140711424,5180506112,2508431559,3694695,4866176,11353,0,4460544,12,0,/input/data/work/d1/5d09f1a4bcb6e8bd822df4ae99dde3,true,-
48,2379721379,hu-worker-c28,3b/a61aa3,nf-3ba61aa359a683057b7c053a0c76b3a1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715229220878,1715229221000,1715229332000,111122,109000,-,201.3,0.4,1186369536,5049425920,1212055552,5077700608,2401470033,3695695,4657266,11224,8032256,4460544,12,10,/input/data/work/3b/a61aa359a683057b7c053a0c76b3a1,true,-
11,2486687632,hu-worker-c41,f2/bc8443,nf-f2bc8443ffc320d44db37de7107e6b57,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715229220980,1715229221000,1715229335000,114020,113000,-,202.3,0.4,1144700928,5045231616,1145827328,5077700608,2508561723,3693325,4866269,11269,143360,4509696,9,4,/input/data/work/f2/bc8443ffc320d44db37de7107e6b57,true,-
47,2739945233,hu-worker-c28,e4/8b034c,nf-e48b034cc7e800adf56abc5cc2da074c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715229220564,1715229221000,1715229344000,123436,122000,-,199.6,0.4,1213558784,5049425920,1229049856,5054885888,2761688590,3683686,5360815,11252,21061632,4485120,82,2,/input/data/work/e4/8b034cc7e800adf56abc5cc2da074c,true,-
37,2689917923,hu-worker-c24,85/79be85,nf-8579be85e2c62937542b7e15b670b00d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715229220648,1715229221000,1715229343000,122352,121000,-,201.6,0.4,1087823872,4833021952,1088094208,4900134912,2711660807,3695980,5263113,11237,0,4485120,12,6,/input/data/work/85/79be85e2c62937542b7e15b670b00d,true,-
16,2567359158,hu-worker-c27,38/ab32e4,nf-38ab32e44b7ccdc61d2300dba5f6ad08,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1715229220834,1715229227000,1715229343000,122166,115000,-,200.8,0.4,1213018112,5253910528,1217957888,5321023488,2589104125,3695786,5023746,11270,0,4415488,7,0,/input/data/work/38/ab32e44b7ccdc61d2300dba5f6ad08,true,-
